Sample	Unique Reads	Duplicate Reads
SRR5127501_1_paired_fastp_fixedheaders_kneaddata_paired_1	11781164.0	1946727.0
SRR5127501_1_paired_fastp_fixedheaders_kneaddata_paired_2	11870596.0	1857295.0
SRR5127502_1_paired_fastp_fixedheaders_kneaddata_paired_1	21199104.0	8819642.0
SRR5127502_1_paired_fastp_fixedheaders_kneaddata_paired_2	21250047.0	8768699.0
SRR5127503_1_paired_fastp_fixedheaders_kneaddata_paired_1	8945583.0	1011003.0
SRR5127503_1_paired_fastp_fixedheaders_kneaddata_paired_2	8959568.0	997018.0
SRR5127504_1_paired_fastp_fixedheaders_kneaddata_paired_1	8750512.0	1139427.0
SRR5127504_1_paired_fastp_fixedheaders_kneaddata_paired_2	8779663.0	1110276.0
SRR5127505_1_paired_fastp_fixedheaders_kneaddata_paired_1	13853636.0	2702267.0
SRR5127505_1_paired_fastp_fixedheaders_kneaddata_paired_2	13901506.0	2654397.0
SRR5127506_1_paired_fastp_fixedheaders_kneaddata_paired_1	10550226.0	1841054.0
SRR5127506_1_paired_fastp_fixedheaders_kneaddata_paired_2	10594568.0	1796712.0
SRR5127507_1_paired_fastp_fixedheaders_kneaddata_paired_1	8901529.0	1260715.0
SRR5127507_1_paired_fastp_fixedheaders_kneaddata_paired_2	8941379.0	1220865.0
SRR5127508_1_paired_fastp_fixedheaders_kneaddata_paired_1	9347646.0	1506219.0
SRR5127508_1_paired_fastp_fixedheaders_kneaddata_paired_2	9452135.0	1401730.0
SRR5127509_1_paired_fastp_fixedheaders_kneaddata_paired_1	10089621.0	1605326.0
SRR5127509_1_paired_fastp_fixedheaders_kneaddata_paired_2	10110149.0	1584798.0
SRR5127510_1_paired_fastp_fixedheaders_kneaddata_paired_1	10011815.0	1489211.0
SRR5127510_1_paired_fastp_fixedheaders_kneaddata_paired_2	9800900.0	1700126.0
SRR5127511_1_paired_fastp_fixedheaders_kneaddata_paired_1	12445887.0	1727455.0
SRR5127511_1_paired_fastp_fixedheaders_kneaddata_paired_2	12422700.0	1750642.0
SRR5127512_1_paired_fastp_fixedheaders_kneaddata_paired_1	11185259.0	2259310.0
SRR5127512_1_paired_fastp_fixedheaders_kneaddata_paired_2	11225951.0	2218618.0
SRR5127513_1_paired_fastp_fixedheaders_kneaddata_paired_1	11994813.0	1986549.0
SRR5127513_1_paired_fastp_fixedheaders_kneaddata_paired_2	12003209.0	1978153.0
SRR5127514_1_paired_fastp_fixedheaders_kneaddata_paired_1	9639085.0	1041839.0
SRR5127514_1_paired_fastp_fixedheaders_kneaddata_paired_2	9568670.0	1112254.0
SRR5127515_1_paired_fastp_fixedheaders_kneaddata_paired_1	9066202.0	1263000.0
SRR5127515_1_paired_fastp_fixedheaders_kneaddata_paired_2	9034511.0	1294691.0
SRR5127516_1_paired_fastp_fixedheaders_kneaddata_paired_1	13308165.0	2474565.0
SRR5127516_1_paired_fastp_fixedheaders_kneaddata_paired_2	13318755.0	2463975.0
SRR5127517_1_paired_fastp_fixedheaders_kneaddata_paired_1	11493495.0	1893193.0
SRR5127517_1_paired_fastp_fixedheaders_kneaddata_paired_2	11595465.0	1791223.0
SRR5127518_1_paired_fastp_fixedheaders_kneaddata_paired_1	13076665.0	4663199.0
SRR5127518_1_paired_fastp_fixedheaders_kneaddata_paired_2	13147645.0	4592219.0
SRR5127519_1_paired_fastp_fixedheaders_kneaddata_paired_1	9853316.0	1625210.0
SRR5127519_1_paired_fastp_fixedheaders_kneaddata_paired_2	9862581.0	1615945.0
SRR5127520_1_paired_fastp_fixedheaders_kneaddata_paired_1	15575783.0	5795180.0
SRR5127520_1_paired_fastp_fixedheaders_kneaddata_paired_2	15625507.0	5745456.0
SRR5127521_1_paired_fastp_fixedheaders_kneaddata_paired_1	9609295.0	2066504.0
SRR5127521_1_paired_fastp_fixedheaders_kneaddata_paired_2	9763075.0	1912724.0
SRR5127522_1_paired_fastp_fixedheaders_kneaddata_paired_1	15218418.0	2755312.0
SRR5127522_1_paired_fastp_fixedheaders_kneaddata_paired_2	15244436.0	2729294.0
SRR5127523_1_paired_fastp_fixedheaders_kneaddata_paired_1	12696776.0	2604181.0
SRR5127523_1_paired_fastp_fixedheaders_kneaddata_paired_2	12778091.0	2522866.0
SRR5127524_1_paired_fastp_fixedheaders_kneaddata_paired_1	14517446.0	2366449.0
SRR5127524_1_paired_fastp_fixedheaders_kneaddata_paired_2	14549933.0	2333962.0
SRR5127525_1_paired_fastp_fixedheaders_kneaddata_paired_1	7008566.0	772452.0
SRR5127525_1_paired_fastp_fixedheaders_kneaddata_paired_2	6991029.0	789989.0
SRR5127526_1_paired_fastp_fixedheaders_kneaddata_paired_1	9653502.0	1431058.0
SRR5127526_1_paired_fastp_fixedheaders_kneaddata_paired_2	9623524.0	1461036.0
SRR5127527_1_paired_fastp_fixedheaders_kneaddata_paired_1	10917273.0	2132376.0
SRR5127527_1_paired_fastp_fixedheaders_kneaddata_paired_2	10996790.0	2052859.0
SRR5127528_1_paired_fastp_fixedheaders_kneaddata_paired_1	18261142.0	5724366.0
SRR5127528_1_paired_fastp_fixedheaders_kneaddata_paired_2	18300425.0	5685083.0
SRR5127529_1_paired_fastp_fixedheaders_kneaddata_paired_1	8141755.0	936837.0
SRR5127529_1_paired_fastp_fixedheaders_kneaddata_paired_2	8174922.0	903670.0
SRR5127530_1_paired_fastp_fixedheaders_kneaddata_paired_1	17703109.0	4705496.0
SRR5127530_1_paired_fastp_fixedheaders_kneaddata_paired_2	17787022.0	4621583.0
SRR5127531_1_paired_fastp_fixedheaders_kneaddata_paired_1	10361977.0	1487070.0
SRR5127531_1_paired_fastp_fixedheaders_kneaddata_paired_2	10457296.0	1391751.0
SRR5127532_1_paired_fastp_fixedheaders_kneaddata_paired_1	10392248.0	1636607.0
SRR5127532_1_paired_fastp_fixedheaders_kneaddata_paired_2	10371591.0	1657264.0
SRR5127533_1_paired_fastp_fixedheaders_kneaddata_paired_1	16732368.0	4596297.0
SRR5127533_1_paired_fastp_fixedheaders_kneaddata_paired_2	16803401.0	4525264.0
SRR5127534_1_paired_fastp_fixedheaders_kneaddata_paired_1	11174396.0	1577484.0
SRR5127534_1_paired_fastp_fixedheaders_kneaddata_paired_2	10996215.0	1755665.0
SRR5127535_1_paired_fastp_fixedheaders_kneaddata_paired_1	7990960.0	1106562.0
SRR5127535_1_paired_fastp_fixedheaders_kneaddata_paired_2	7906984.0	1190538.0
SRR5127536_1_paired_fastp_fixedheaders_kneaddata_paired_1	10432151.0	1604899.0
SRR5127536_1_paired_fastp_fixedheaders_kneaddata_paired_2	10325236.0	1711814.0
SRR5127537_1_paired_fastp_fixedheaders_kneaddata_paired_1	12356675.0	2160473.0
SRR5127537_1_paired_fastp_fixedheaders_kneaddata_paired_2	12478965.0	2038183.0
SRR5127538_1_paired_fastp_fixedheaders_kneaddata_paired_1	10040511.0	1639588.0
SRR5127538_1_paired_fastp_fixedheaders_kneaddata_paired_2	9861798.0	1818301.0
SRR5127539_1_paired_fastp_fixedheaders_kneaddata_paired_1	8485140.0	1070196.0
SRR5127539_1_paired_fastp_fixedheaders_kneaddata_paired_2	8557476.0	997860.0
SRR5127540_1_paired_fastp_fixedheaders_kneaddata_paired_1	11019288.0	1899471.0
SRR5127540_1_paired_fastp_fixedheaders_kneaddata_paired_2	11012438.0	1906321.0
SRR5127541_1_paired_fastp_fixedheaders_kneaddata_paired_1	10457085.0	1499313.0
SRR5127541_1_paired_fastp_fixedheaders_kneaddata_paired_2	10500319.0	1456079.0
SRR5127542_1_paired_fastp_fixedheaders_kneaddata_paired_1	12243720.0	1907907.0
SRR5127542_1_paired_fastp_fixedheaders_kneaddata_paired_2	12287240.0	1864387.0
SRR5127543_1_paired_fastp_fixedheaders_kneaddata_paired_1	17735912.0	4329625.0
